Date,True,Deep LSTM with 50-50-50-50 neuron,LSTM with 50-50-50-50 neuron and recurrent dropout,Shallow LSTM 50-50 neurons,Shallow LSTM 50-10 neurons,Shallow LSTM 10-10 neurons,Shallow LSTM 10-10 neurons without callback opt,Shallow LSTM 5-5 neurons without callback opt
2019-05-28,43.81158447265625,43.956272,45.97176,45.67213,44.713043,44.411854,44.116,37.111637
2019-05-29,43.60264205932617,43.55848,45.669724,45.296772,44.36646,44.104774,43.795742,37.015503
2019-05-30,43.828792572021484,43.344215,45.371986,44.93939,44.035984,43.80718,43.489002,36.91851
2019-05-31,43.03481674194336,43.360527,45.026257,44.62473,43.743404,43.526527,43.21472,36.817825
2019-06-03,42.5997200012207,43.258728,44.68872,44.31174,43.45205,43.24764,42.941414,36.72012
2019-06-04,44.15818405151367,42.943874,44.343895,43.994194,43.15524,42.967422,42.663914,36.61947
2019-06-05,44.87104415893555,43.081264,44.0242,43.784092,42.958233,42.75638,42.475307,36.529274
2019-06-06,45.52982711791992,43.731415,43.74662,43.691296,42.871475,42.61948,42.38373,36.462887
2019-06-07,46.74169921875,44.63793,43.495388,43.71314,42.890934,42.55707,42.386272,36.41922
2019-06-10,47.33903121948242,45.717514,43.293526,43.874836,43.039227,42.592678,42.50468,36.403824
2019-06-11,47.8871955871582,46.69241,43.15408,44.14667,43.288242,42.713135,42.71548,36.418453
2019-06-12,47.73478698730469,47.39905,43.11998,44.50361,43.6146,42.91405,42.999252,36.462143
2019-06-13,47.72495651245117,47.62497,43.125534,44.87947,43.95608,43.145824,43.30133,36.520374
2019-06-14,47.37836837768555,47.481544,43.1752,45.245148,44.286457,43.3925,43.598816,36.586006
2019-06-17,47.66104507446289,47.09433,43.27706,45.56346,44.573174,43.62996,43.862194,36.655163
2019-06-18,48.78196716308594,46.826324,43.42241,45.850235,44.831455,43.86283,44.1035,36.723644
2019-06-19,48.63938903808594,47.139595,43.623886,46.16455,45.116085,44.122707,44.369373,36.7969
2019-06-20,49.030235290527344,47.671135,43.8314,46.464462,45.388638,44.371117,44.62456,36.871323
2019-06-21,48.86307907104492,48.2228,44.07314,46.762478,45.659897,44.622513,44.87817,36.946354
2019-06-24,48.81391906738281,48.52194,44.33681,47.03085,45.904667,44.857155,45.107864,37.02116
2019-06-25,48.07402038574219,48.542225,44.60378,47.261993,46.11568,45.068592,45.307068,37.09063
2019-06-26,49.11381149291992,48.164356,44.865715,47.41389,46.25545,45.229794,45.442562,37.152515
2019-06-27,49.099063873291016,48.053867,45.118244,47.568665,46.397453,45.38997,45.579163,37.205147
2019-06-28,48.65167999267578,48.19915,45.351284,47.711796,46.529522,45.532948,45.705524,37.25538
2019-07-01,49.543983459472656,48.2657,45.579433,47.814796,46.62592,45.64612,45.798355,37.30153
2019-07-02,49.834049224853516,48.535015,45.794632,47.93849,46.740307,45.767136,45.90566,37.341652
2019-07-03,50.24702072143555,48.956135,45.966347,48.080284,46.870235,45.887253,46.02543,37.37844
2019-07-05,50.20277404785156,49.436874,46.11781,48.249153,47.023712,46.017582,46.164726,37.414104
2019-07-08,49.16789245605469,49.74128,46.255146,48.421745,47.17977,46.146908,46.30564,37.449844
2019-07-09,49.4677848815918,49.448788,46.36993,48.527405,47.275406,46.234974,46.393154,37.481117
2019-07-10,49.95695495605469,49.01569,46.47319,48.60568,47.345726,46.31023,46.459076,37.503895
2019-07-11,49.59315490722656,48.888752,46.56609,48.68903,47.42057,46.387054,46.52966,37.52408
2019-07-12,49.97416305541992,48.888813,46.65921,48.74913,47.47548,46.447124,46.582268,37.54469
2019-07-15,50.44367980957031,49.063198,46.748623,48.813972,47.53461,46.508606,46.63805,37.562065
2019-07-16,50.269142150878906,49.444023,46.840496,48.90387,47.616154,46.58269,46.71319,37.580708
2019-07-17,49.9864616394043,49.73924,46.92454,48.992466,47.696545,46.65219,46.78657,37.600346
2019-07-18,50.554290771484375,49.74738,46.98814,49.059063,47.756786,46.70622,46.841816,37.61638
2019-07-19,49.79964065551758,49.783596,47.055367,49.14236,47.831448,46.772076,46.910007,37.631065
2019-07-22,50.9377555847168,49.592274,47.11533,49.185966,47.871124,46.812183,46.947346,37.646458
2019-07-23,51.335975646972656,49.71385,47.17891,49.26991,47.946095,46.87853,47.01585,37.658504
2019-07-24,51.294189453125,50.15837,47.24624,49.393234,48.056164,46.96523,47.11521,37.67606
2019-07-25,50.88859939575195,50.583134,47.330025,49.531265,48.17952,47.06092,47.225513,37.698647
2019-07-26,51.06558609008789,50.649967,47.400032,49.64613,48.28174,47.142666,47.316994,37.71966
2019-07-29,51.54246139526367,50.5381,47.47536,49.752026,48.37562,47.22349,47.401676,37.73879
2019-07-30,51.321231842041016,50.56735,47.562416,49.87284,48.482697,47.315998,47.498646,37.75893
2019-07-31,52.3683967590332,50.608578,47.637997,49.980762,48.578484,47.398735,47.585804,37.77899
2019-08-01,51.235191345214844,50.99564,47.716103,50.135357,48.714935,47.510517,47.70892,37.797623
2019-08-02,50.15115737915039,51.047134,47.793762,50.242397,48.81023,47.591732,47.795788,37.820927
2019-08-05,47.52585220336914,50.447647,47.87265,50.25582,48.823475,47.621925,47.810265,37.838417
2019-08-06,48.42552947998047,48.83813,47.952663,50.06384,48.65684,47.53546,47.666683,37.847004
2019-08-07,48.92699432373047,47.57763,47.998486,49.81158,48.435802,47.41473,47.476383,37.832073
2019-08-08,50.00612258911133,47.263485,48.003536,49.56098,48.216408,47.279766,47.28782,37.809917
2019-08-09,49.594051361083984,48.002213,47.98564,49.387016,48.065254,47.17286,47.156967,37.786156
2019-08-12,49.46820831298828,48.921364,47.937584,49.244427,47.94169,47.067116,47.04688,37.765476
2019-08-13,51.563106536865234,49.446434,47.86514,49.124516,47.83675,46.96693,46.950512,37.7432
2019-08-14,50.02832794189453,50.256523,47.79149,49.146393,47.855854,46.949196,46.962646,37.724285
2019-08-15,49.779109954833984,50.436634,47.724773,49.16229,47.869625,46.92431,46.968945,37.72019
2019-08-16,50.953636169433594,50.000862,47.654247,49.163685,47.868855,46.89861,46.9622,37.71234
2019-08-19,51.90362548828125,49.81659,47.60673,49.224285,47.919758,46.918343,47.00281,37.7072
2019-08-20,51.906089782714844,50.24451,47.557175,49.367302,48.04335,46.988125,47.10854,37.70894
2019-08-21,52.46867752075195,50.856125,47.52607,49.552032,48.204136,47.086506,47.247448,37.720318
2019-08-22,52.42426300048828,51.477764,47.525566,49.784836,48.407063,47.223156,47.42447,37.737823
2019-08-23,50.00118637084961,51.83761,47.56241,50.03014,48.621128,47.377438,47.61292,37.763542
2019-08-26,50.951171875,51.02443,47.61754,50.130592,48.708862,47.45516,47.691727,37.791203
2019-08-27,50.376243591308594,50.181255,47.678417,50.195522,48.764755,47.525997,47.745,37.804417
2019-08-28,50.714290618896484,49.564713,47.748272,50.19852,48.767876,47.560978,47.75403,37.81818
2019-08-29,51.572975158691406,49.42961,47.800037,50.182655,48.755127,47.580765,47.74931,37.823803
2019-08-30,51.50635528564453,49.93911,47.868736,50.205532,48.777515,47.61946,47.775173,37.83084
2019-09-03,50.75623321533203,50.609936,47.94944,50.24487,48.81527,47.66061,47.813,37.843365
2019-09-04,51.61738967895508,50.79451,48.060623,50.250965,48.824566,47.681137,47.823753,37.860466
2019-09-05,52.62659454345703,50.903328,48.141285,50.284042,48.855877,47.713894,47.853,37.869648
2019-09-06,52.62165832519531,51.344852,48.206673,50.38714,48.947704,47.782387,47.93515,37.880623
2019-09-09,52.84619903564453,51.81516,48.255436,50.524616,49.069057,47.865093,48.042168,37.895977
2019-09-10,53.4704704284668,52.146805,48.31842,50.690044,49.214283,47.967278,48.16945,37.914967
2019-09-11,55.170570373535156,52.482487,48.394157,50.89772,49.395542,48.09899,48.32863,37.93708
2019-09-12,55.04719543457031,53.333244,48.456192,51.212498,49.668133,48.294933,48.56865,37.95954
2019-09-13,53.97630310058594,54.1105,48.57166,51.56669,49.97535,48.51948,48.839344,37.997807
2019-09-16,54.26007080078125,54.04273,48.71405,51.863457,50.232822,48.719025,49.066402,38.04058
2019-09-17,54.45746994018555,53.610783,48.856842,52.125126,50.45886,48.90952,49.267433,38.075844
2019-09-18,54.96823501586914,53.28815,49.002197,52.359673,50.661526,49.09006,49.45035,38.108887
2019-09-19,54.52162551879883,53.3769,49.16292,52.592514,50.863388,49.273014,49.633858,38.14098
2019-09-20,53.72462463378906,53.504765,49.32471,52.7833,51.03009,49.429543,49.787,38.173584
2019-09-23,53.96890640258789,53.276474,49.490105,52.89372,51.128956,49.53949,49.880466,38.203545
2019-09-24,53.712284088134766,53.03226,49.68665,52.96539,51.195587,49.631004,49.945744,38.23095
2019-09-25,54.53889846801758,52.829887,49.850323,52.99,51.22185,49.687233,49.975727,38.25299
2019-09-26,54.25760269165039,53.046555,50.00536,53.032635,51.263317,49.748386,50.018406,38.269974
2019-09-27,53.993587493896484,53.33412,50.136177,53.0646,51.29546,49.79215,50.051804,38.287434
2019-09-30,55.264339447021484,53.40843,50.236195,53.074024,51.30755,49.81517,50.06583,38.300285
2019-10-01,55.417320251464844,53.8008,50.325386,53.142296,51.36862,49.869358,50.121983,38.308407
2019-10-02,54.02812576293945,54.313168,50.41811,53.248196,51.46148,49.939003,50.205162,38.32326
2019-10-03,54.48707962036133,54.11107,50.48886,53.291485,51.500595,49.967503,50.23939,38.33984
2019-10-04,56.01445388793945,53.718067,50.538277,53.323772,51.528915,49.993904,50.263626,38.346413
2019-10-07,56.02679443359375,54.012337,50.58808,53.432426,51.621346,50.065945,50.345253,38.3514
2019-10-08,55.37043762207031,54.62418,50.63904,53.577904,51.74522,50.154167,50.454254,38.36388
2019-10-09,56.01939010620117,54.843655,50.687183,53.70104,51.850174,50.229244,50.545433,38.378315
2019-10-10,56.774444580078125,54.96082,50.71994,53.841236,51.968426,50.318806,50.648304,38.386135
